504.5,	227.5,	1066.743,	21.798;
386.5,	319.5,	1066.744,	21.798;
386.5,	317.5,	1066.743,	21.798;
386.5,	318.5,	1066.743,	21.798;
386.5,	317.5,	1066.744,	21.798;
387.5,	319.5,	1066.744,	21.798;
387.5,	319.5,	1066.743,	21.798;
387.5,	319.5,	1066.744,	21.798;
387.5,	319.5,	1066.743,	21.798;
387.5,	321.5,	1066.744,	21.798;
387.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.797;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.797;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.797;
390.5,	321.5,	1066.744,	21.798;
387.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.797;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
386.5,	319.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.797;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.797;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
386.5,	319.5,	1066.743,	21.798;
390.5,	321.5,	1066.744,	21.798;
387.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
387.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.797;
390.5,	321.5,	1066.744,	21.798;
390.5,	321.5,	1066.743,	21.798;
390.5,	321.5,	1066.743,	21.798;
386.5,	319.5,	1066.743,	21.798;
384.5,	321.5,	1066.743,	21.798;
384.5,	321.5,	1066.744,	21.798;
383.5,	321.5,	1066.743,	21.797;
388.5,	321.5,	1066.744,	21.798;
388.5,	321.5,	1066.743,	21.798;
386.5,	319.5,	1066.743,	21.798;
387.5,	316.5,	1066.744,	21.798;
387.5,	316.5,	1066.744,	21.798;
387.5,	316.5,	1066.743,	21.798;
383.5,	321.5,	1066.744,	21.798;
387.5,	316.5,	1066.744,	21.798;
